name,mass,bandera
Dooku,80.0,1
"Bail Prestor Organa",,0
"Jango Fett",79.0,1
"Zam Wesell",55.0,0
"Dexter Jettster",102.0,1
"Lama Su",88.0,1
"Taun We",,0
"Jocasta Nu",,0
R4-P17,,0
"Wat Tambor",48.0,0
"San Hill",,0
"Shaak Ti",57.0,0
Grievous,159.0,1
Tarfful,136.0,1
"Raymus Antilles",79.0,1
"Sly Moore",48.0,0
"Tion Medon",80.0,1
"Ben Quadinaros",65.0,0
"Mace Windu",84.0,1
Ki-Adi-Mundi,82.0,1
"Kit Fisto",87.0,1
"Eeth Koth",,0
"Adi Gallia",50.0,0
"Saesee Tiin",,0
"Yarael Poof",,0
"Plo Koon",80.0,1
"Mas Amedda",,0
"Gregar Typho",85.0,1
Cord̩,,0
"Cliegg Lars",,0
"Poggle the Lesser",80.0,1
"Luminara Unduli",56.2,0
"Barriss Offee",50.0,0
Dorm̩,,0
"Jocasta Nu",,0
R4-P17,,0
"Wat Tambor",48.0,0
"San Hill",,0
"Shaak Ti",57.0,0
Grievous,159.0,1
"Mace Windu",84.0,1
Ki-Adi-Mundi,82.0,1
"Kit Fisto",87.0,1
"Mace Windu",84.0,1
Ki-Adi-Mundi,82.0,1
"Kit Fisto",87.0,1
"Luke Skywalker",77.0,1
C-3PO,75.0,1
R2-D2,32.0,0
"Darth Vader",136.0,1
"Leia Organa",49.0,0
"Owen Lars",120.0,1
"Beru Whitesun Lars",75.0,1
R5-D4,32.0,0
"Biggs Darklighter",84.0,1
"Obi-Wan Kenobi",77.0,1
"Anakin Skywalker",84.0,1
"Wilhuff Tarkin",,0
Chewbacca,112.0,1
"Han Solo",80.0,1
Greedo,74.0,1
"Jabba Desilijic Tiure",1358.0,1
"Wedge Antilles",77.0,1
"Jek Tono Porkins",110.0,1
Yoda,17.0,0
Palpatine,75.0,1
"Boba Fett",78.2,1
IG-88,140.0,1
Bossk,113.0,1
"Lando Calrissian",79.0,1
Lobot,79.0,1
Ackbar,83.0,1
"Mon Mothma",,0
"Wicket Systri Warrick",20.0,0
"Nien Nunb",68.0,1
"Qui-Gon Jinn",89.0,1
"Nute Gunray",90.0,1
"Finis Valorum",,0
"Padm̩ Amidala",45.0,0
"Jar Jar Binks",66.0,1
"Roos Tarpals",82.0,1
"Rugor Nass",,0
"Ric Oli̩",,0
Watto,,0
Sebulba,40.0,0
"Quarsh Panaka",,0
"Shmi Skywalker",,0
"Darth Maul",80.0,1
"Bib Fortuna",,0
"Ayla Secura",55.0,0
"Ratts Tyerel",15.0,0
"Dud Bolt",45.0,0
Gasgano,,0
"Ben Quadinaros",65.0,0
"Mace Windu",84.0,1
Ki-Adi-Mundi,82.0,1
"Kit Fisto",87.0,1
"Eeth Koth",,0
"Adi Gallia",50.0,0
"Saesee Tiin",,0
"Yarael Poof",,0
"Plo Koon",80.0,1
"Mas Amedda",,0
"Gregar Typho",85.0,1
Cord̩,,0
"Cliegg Lars",,0
"Poggle the Lesser",80.0,1
"Luminara Unduli",56.2,0
"Barriss Offee",50.0,0
Dorm̩,,0
